episode,episode_return,epsilon,loss,lost_drones,steps,buffer_size
0,1702.7170000000117,0.7787520933134615,0.46515096462446925,0,500,4000
1,1458.864000000009,0.606454822840097,0.46546287803351877,0,500,8000
2,1326.4970000000064,0.4722779627867691,0.46581555280089376,0,500,12000
3,1073.207000000001,0.3677874521460121,0.4600763456299901,0,500,16000
4,1003.5819999999961,0.28641524825313086,0.4821416482180357,0,500,20000
5,1230.607000000003,0.22304647413401948,0.4626829802393913,0,500,24000
6,641.2100000000003,0.17369790863805412,0.47636140581965447,0,500,28000
7,519.4920000000001,0.13526760995605422,0.4779781885445118,0,500,32000
8,318.5670000000002,0.10533993441078586,0.4696229903101921,0,500,36000
9,499.08499999999964,0.0820336944319021,0.47783870969712733,0,500,40000
10,-230.8029999999999,0.06388391126108031,0.48118849682807924,0,500,44000
11,-37.888999999999996,0.05,0.48996032671630385,0,500,48000
12,-137.70100000000002,0.05,0.5028915714770555,0,500,52000
13,484.35600000000005,0.05,0.5067648695409298,0,500,56000
14,-25.01699999999962,0.05,0.5098264861553907,0,500,60000
15,-436.59299999999996,0.05,0.5367185928821564,0,500,64000
16,-718.8810000000016,0.05,0.5331867609024048,0,500,68000
17,-226.71799999999996,0.05,0.5520394361615181,0,500,72000
18,-549.9840000000007,0.05,0.58537885633111,0,500,76000
19,-1291.1709999999964,0.05,0.5986310049891472,0,500,80000
20,-1091.250999999999,0.05,0.6254221419095993,0,500,84000
21,-1162.5999999999992,0.05,0.6535015683174134,0,500,88000
22,-1064.2280000000023,0.05,0.682404632627964,0,500,92000
23,-1050.6789999999996,0.05,0.7082162592411041,0,500,96000
24,-502.5149999999995,0.05,0.7538013117909431,0,500,100000
25,-716.4300000000011,0.05,0.809495987713337,0,500,100000
26,-1135.6619999999996,0.05,0.8424452731013298,0,500,100000
27,-535.1919999999999,0.05,0.8861004936099053,0,500,100000
28,-1276.9859999999933,0.05,0.9081501776576042,0,500,100000
29,-1084.4410000000005,0.05,0.9502109451293945,0,500,100000
30,-844.7469999999997,0.05,0.9927942578792572,0,500,100000
31,-669.4940000000013,0.05,1.066278418958187,0,500,100000
32,-763.2960000000019,0.05,1.0815447498559951,0,500,100000
33,-875.162000000001,0.05,1.1633274684548378,0,500,100000
34,-1067.9589999999998,0.05,1.2338019219636918,0,500,100000
35,-1104.0979999999965,0.05,1.3643418449163436,0,500,100000
36,-705.7279999999996,0.05,1.45824331510067,0,500,100000
37,-521.2279999999989,0.05,1.5491913888454438,0,500,100000
38,-1024.950000000002,0.05,1.5657560130357742,0,500,100000
39,-733.3259999999983,0.05,1.7356344360113143,0,500,100000
40,-1091.7819999999986,0.05,1.820998717904091,0,500,100000
41,-1350.8619999999949,0.05,1.814061949133873,0,500,100000
42,-898.6610000000034,0.05,1.9774132585525512,0,500,100000
43,-1171.6130000000032,0.05,2.08640317261219,0,500,100000
44,-989.5520000000022,0.05,2.1105380700826646,0,500,100000
45,-1105.5239999999972,0.05,2.2544716181755065,0,500,100000
46,-1288.8589999999974,0.05,2.4422073113918303,0,500,100000
47,-1039.9149999999972,0.05,2.4246985026597976,0,500,100000
48,-1254.7989999999966,0.05,2.747779657959938,0,500,100000
49,-1360.3949999999986,0.05,2.5823115916252135,0,500,100000
50,-1080.5700000000004,0.05,2.969801479458809,0,500,100000
51,-1134.5779999999957,0.05,2.9017191823720934,0,500,100000
52,-832.9899999999991,0.05,3.0271859889030455,0,500,100000
53,-934.3719999999998,0.05,3.3338673276901245,0,500,100000
54,-1183.111,0.05,3.343199163079262,0,500,100000
55,-1187.3909999999962,0.05,3.1604659080505373,0,500,100000
56,-881.6690000000017,0.05,3.5372612843513487,0,500,100000
57,-1136.538000000001,0.05,3.328363827228546,0,500,100000
58,-1285.279999999999,0.05,3.4653853298425674,0,500,100000
59,-895.6280000000013,0.05,3.7208585114479065,0,500,100000
60,-1181.9109999999955,0.05,3.8499553443193437,0,500,100000
61,-1074.5659999999993,0.05,4.160999854087829,0,500,100000
62,-670.4969999999983,0.05,4.119771747589112,0,500,100000
63,-1043.6770000000035,0.05,4.485623875498772,0,500,100000
64,-1237.611000000001,0.05,4.109710685968399,0,500,100000
65,-1142.5379999999973,0.05,4.117072880029679,0,500,100000
66,-267.83600000000115,0.05,4.2473204462528225,0,500,100000
67,-172.79999999999987,0.05,4.727885782003403,0,500,100000
68,-387.90499999999946,0.05,5.099892904281616,0,500,100000
69,-1297.664000000001,0.05,5.520912046432495,0,500,100000
70,-908.0780000000016,0.05,5.294116457939148,0,500,100000
71,-1056.4979999999964,0.05,5.003322632074356,0,500,100000
72,-1268.2839999999962,0.05,5.627493445396423,0,500,100000
73,-972.1969999999973,0.05,5.80372885799408,0,500,100000
74,-732.9410000000001,0.05,5.975968957662582,0,500,100000
75,-403.0639999999998,0.05,6.424482287883759,0,500,100000
76,-1237.2879999999982,0.05,6.742933130264282,0,500,100000
77,-775.6850000000003,0.05,6.98168037033081,0,500,100000
78,-1179.380000000001,0.05,6.667281903266907,0,500,100000
79,-1207.3649999999943,0.05,7.302063670635223,0,500,100000
80,-1203.149999999996,0.05,7.104045349597931,0,500,100000
81,-752.1450000000001,0.05,8.184904370307923,0,500,100000
82,-1043.9750000000017,0.05,7.626907264709472,0,500,100000
83,-253.12400000000022,0.05,8.158536805152893,0,500,100000
84,-329.2609999999994,0.05,9.213253951311112,0,500,100000
85,-89.39900000000038,0.05,9.294412456989289,0,500,100000
86,295.3990000000006,0.05,10.179842489242553,0,500,100000
87,-524.261999999999,0.05,10.50585050725937,0,500,100000
88,-452.25100000000066,0.05,10.735291806221008,0,500,100000
89,-868.3340000000013,0.05,11.096350182533264,0,500,100000
90,-1041.0170000000016,0.05,11.303789244174958,0,500,100000
91,-192.62399999999977,0.05,12.375940100669862,0,500,100000
92,44.67900000000001,0.05,12.087004894256593,0,500,100000
93,104.26999999999984,0.05,12.19316628074646,0,500,100000
94,-418.1819999999999,0.05,12.878273805618287,0,500,100000
95,-126.53299999999928,0.05,14.04174935245514,0,500,100000
96,30.849999999999834,0.05,15.182589847564698,0,500,100000
97,436.38699999999994,0.05,15.743761335372925,0,500,100000
98,149.42500000000044,0.05,16.91328779602051,0,500,100000
99,-559.1160000000019,0.05,17.827457390785217,0,500,100000
