episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9184927597143733,5.148010251101326,134,53,46,3.153150000000018,0.8450704225352113,0.8583333333333333,0.27148333333335123,120.0,22.0,0.0,1336.1620000000016
1,0.8190993535905904,3.923534455778297,124,54,51,1.636847457627137,0.921875,0.8898305084745762,0.2690508474576454,118.0,10.0,0.0,1511.342000000001
2,0.7348587128397597,3.4930665163400536,131,56,30,3.6238879310345014,0.8226950354609929,0.8879310344827587,0.27906034482760467,116.0,25.0,0.0,1254.3290000000002
3,0.6553370076152166,3.5076961553773507,131,55,43,1.9014146341463591,0.9044117647058824,0.9349593495934959,0.25588617886180626,123.0,13.0,0.0,1570.6960000000013
4,0.5897054853908725,3.6240986252283034,127,46,38,3.9945752212389576,0.8071428571428572,0.8407079646017699,0.2848407079646212,113.0,27.0,0.0,1153.2330000000004
5,0.5354454953177946,3.690001569263676,122,46,25,3.049491071428591,0.8484848484848485,0.8839285714285714,0.28520535714287687,112.0,20.0,0.0,1273.2070000000015
6,0.48520644914645333,4.113333426151179,134,47,16,5.21562608695654,0.756578947368421,0.8695652173913043,0.28432173913045283,115.0,37.0,0.0,1050.043
7,0.4396811633527356,4.340974148154864,130,49,18,3.42245299145301,0.8357142857142857,0.8290598290598291,0.2694615384615568,117.0,23.0,0.0,1254.3930000000005
8,0.4048550912185404,4.540859028787324,115,38,12,3.36625714285716,0.8333333333333334,0.9238095238095239,0.2805428571428745,105.0,21.0,0.0,1181.4230000000007
9,0.369816364797221,4.773324460614452,115,52,14,1.1008648648648824,0.9487179487179487,0.9819819819819819,0.27113513513515286,111.0,6.0,0.0,1532.6640000000014
10,0.33646123376985887,4.831784371976499,122,47,20,1.1372368421052828,0.95,0.9385964912280702,0.27846491228072134,114.0,6.0,0.0,1545.1550000000018
11,0.30519733123906245,5.123846194682977,131,45,19,3.812298245614053,0.8142857142857143,0.9035087719298246,0.2886140350877372,114.0,26.0,0.0,1220.208
12,0.27753159904899,5.182843929842899,128,42,20,3.6992477064220384,0.8195488721804511,0.8348623853211009,0.2900733944954327,109.0,24.0,0.0,1141.5819999999997
13,0.2533854987579839,5.643924945003384,126,42,14,2.5079043478261047,0.8778625954198473,0.8695652173913043,0.28442608695653976,115.0,16.0,0.0,1361.4510000000007
14,0.23134018324702182,5.65705500461243,129,41,12,2.8965086206896737,0.8592592592592593,0.8189655172413793,0.26719827586208755,116.0,19.0,0.0,1298.8850000000014
15,0.20911075159699508,5.782383957711777,124,41,37,3.266633928571447,0.8421052631578947,0.8571428571428571,0.2925267857143042,112.0,21.0,0.0,1233.767000000001
16,0.19072660513168033,6.097398159296616,123,42,19,2.303634782608715,0.8846153846153846,0.9043478260869565,0.2766782608695844,115.0,15.0,0.0,1404.8920000000007
17,0.1737848010385734,6.237646387469384,136,41,9,4.224983471074398,0.7960526315789473,0.8925619834710744,0.2663057851239848,121.0,31.0,0.0,1238.6870000000006
18,0.15850636503593277,6.101693062678628,129,44,11,2.6557982456140543,0.8702290076335878,0.8333333333333334,0.2821140350877383,114.0,17.0,0.0,1312.1289999999997
19,0.14486064958215455,6.185263703929054,129,40,11,3.5227094017094207,0.8297872340425532,0.8290598290598291,0.2731367521367709,117.0,24.0,0.0,1242.733
20,0.13212510452461754,6.319094225116398,128,41,15,4.098212389380549,0.8014184397163121,0.8584070796460177,0.2769734513274522,113.0,28.0,0.0,1151.7520000000006
21,0.12117400895633698,6.290245603274748,126,42,5,2.4922807017544044,0.8769230769230769,0.9035087719298246,0.276491228070194,114.0,16.0,0.0,1370.8300000000008
22,0.11007958399691305,6.305656582117081,132,41,19,3.131834782608714,0.8455882352941176,0.8869565217391304,0.2727043478261055,115.0,21.0,0.0,1299.6489999999994
23,0.1002011922461172,6.552541291460078,130,44,14,4.705090090090108,0.7816901408450704,0.7747747747747747,0.2969819819820002,111.0,31.0,0.0,1017.5949999999999
24,0.09208010964763046,6.283649392381927,124,38,7,3.687063636363656,0.8208955223880597,0.8454545454545455,0.2797909090909287,110.0,24.0,0.0,1159.3529999999998
25,0.08423720580169763,6.490751908066567,122,39,17,1.2725526315789655,0.9421487603305785,0.9035087719298246,0.26992105263159705,114.0,7.0,0.0,1509.759000000001
26,0.07698527657645339,6.391223899523417,126,42,12,1.5057350427350602,0.9285714285714286,0.9145299145299145,0.27923931623933373,117.0,9.0,0.0,1528.7090000000005
27,0.07035766147686717,6.5123405933380125,126,43,11,1.4911623931624116,0.9285714285714286,0.9230769230769231,0.27492307692309553,117.0,9.0,0.0,1535.4240000000011
28,0.06404386088367206,6.6463319862142525,140,42,6,2.652084615384631,0.8666666666666667,0.8923076923076924,0.2528538461538619,130.0,20.0,0.0,1535.1690000000006
29,0.05879441061454444,6.373694988719204,125,43,3,3.2986964285714473,0.8421052631578947,0.8303571428571429,0.289767857142876,112.0,21.0,0.0,1215.516000000001
30,0.05378660913719214,6.470535524775473,132,45,1,2.979487804878066,0.8541666666666666,0.8536585365853658,0.25591056910570853,123.0,21.0,0.0,1388.513
31,0.05,7.059394286524865,133,47,6,3.9369159663865716,0.8095238095238095,0.8235294117647058,0.27557142857144584,119.0,28.0,0.0,1211.4469999999997
32,0.05,6.554333132941548,121,43,0,2.752972222222241,0.864,0.8611111111111112,0.28723148148150035,108.0,17.0,0.0,1247.6790000000005
33,0.05,6.741781876538251,128,47,10,2.3784513274336474,0.8828125,0.8938053097345132,0.2864159292035588,113.0,15.0,0.0,1366.1350000000002
34,0.05,7.212694710069667,138,44,1,3.219040983606574,0.8413793103448276,0.8770491803278688,0.26740163934427935,122.0,23.0,0.0,1362.2669999999998
35,0.05,6.965424901085931,139,43,3,3.353581967213131,0.8356164383561644,0.8688524590163934,0.27161475409837693,122.0,24.0,0.0,1340.833
36,0.05,7.329966459485049,126,49,6,1.7333418803418983,0.9140625,0.9230769230769231,0.26667521367523145,117.0,11.0,0.0,1507.139000000001
37,0.05,7.037558016856073,129,49,3,1.9383140495867943,0.9029850746268657,0.9008264462809917,0.2573223140496042,121.0,13.0,0.0,1520.4340000000004
38,0.05,7.0753899264980005,130,53,2,4.797947368421072,0.7755102040816326,0.8333333333333334,0.284789473684229,114.0,33.0,0.0,1068.0139999999994
39,0.05,6.919680735485702,121,52,4,4.31788785046731,0.7925925925925926,0.8598130841121495,0.2907850467289916,107.0,28.0,0.0,1067.9459999999992
40,0.05,7.529458703257102,126,50,5,3.162026315789493,0.8444444444444444,0.8859649122807017,0.28220175438598394,114.0,21.0,0.0,1284.479000000001
41,0.05,7.617656600090765,129,51,6,2.575649572649591,0.8731343283582089,0.8888888888888888,0.27479487179489026,117.0,17.0,0.0,1388.5890000000013
42,0.05,7.169821646478441,130,49,1,5.327131578947387,0.7549668874172185,0.7631578947368421,0.2806403508772123,114.0,37.0,0.0,967.6970000000005
43,0.05,7.29686669404594,139,48,4,3.8201583333333504,0.8163265306122449,0.85,0.2743250000000169,120.0,27.0,0.0,1251.5409999999993
44,0.05,7.258372031522719,130,50,1,3.3966206896551903,0.8345323741007195,0.7672413793103449,0.2819655172413971,116.0,23.0,0.0,1210.9820000000004
45,0.05,7.231811846809825,129,43,2,3.8807368421052812,0.8142857142857143,0.8333333333333334,0.28687719298247427,114.0,26.0,0.0,1172.5760000000005
46,0.05,7.652713293586272,133,49,1,4.157686440677985,0.8027210884353742,0.8389830508474576,0.2729406779661201,118.0,29.0,0.0,1184.3829999999991
47,0.05,7.779537170962557,128,50,5,4.6317310924369925,0.7828947368421053,0.8235294117647058,0.2729075630252278,119.0,33.0,0.0,1128.7740000000008
48,0.05,7.16184110906389,128,49,3,1.7911322314049758,0.9166666666666666,0.8264462809917356,0.2589008264462981,121.0,11.0,0.0,1493.243000000001
49,0.05,7.481792090369052,130,47,6,3.0998034188034365,0.8478260869565217,0.8547008547008547,0.2664700854701031,117.0,21.0,0.0,1307.263000000001
